#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=28|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 28|KO=
V|N=1|EN=The wicked flee when no man pursueth: but the righteous are bold as a lion.|KO=
V|N=2|EN=For the transgression of a land many are the princes thereof: but by a man of understanding and knowledge the state thereof shall be prolonged.|KO=
V|N=3|EN=A poor man that oppresseth the poor is like a sweeping rain which leaveth no food.|KO=
V|N=4|EN=They that forsake the law praise the wicked: but such as keep the law contend with them.|KO=
V|N=5|EN=Evil men understand not judgment: but they that seek the LORD understand all things.|KO=
V|N=6|EN=Better is the poor that walketh in his uprightness, than he that is perverse in his ways, though he be rich.|KO=
V|N=7|EN=Whoso keepeth the law is a wise son: but he that is a companion of riotous men shameth his father.|KO=
V|N=8|EN=He that by usury and unjust gain increaseth his substance, he shall gather it for him that will pity the poor.|KO=
V|N=9|EN=He that turneth away his ear from hearing the law, even his prayer shall be abomination.|KO=
V|N=10|EN=Whoso causeth the righteous to go astray in an evil way, he shall fall himself into his own pit: but the upright shall have good things in possession.|KO=
V|N=11|EN=The rich man is wise in his own conceit; but the poor that hath understanding searcheth him out.|KO=
V|N=12|EN=When righteous men do rejoice, there is great glory: but when the wicked rise, a man is hidden.|KO=
V|N=13|EN=He that covereth his sins shall not prosper: but whoso confesseth and forsaketh them shall have mercy.|KO=
V|N=14|EN=Happy is the man that feareth alway: but he that hardeneth his heart shall fall into mischief.|KO=
V|N=15|EN=As a roaring lion, and a ranging bear; so is a wicked ruler over the poor people.|KO=
V|N=16|EN=The prince that wanteth understanding is also a great oppressor: but he that hateth covetousness shall prolong his days.|KO=
V|N=17|EN=A man that doeth violence to the blood of any person shall flee to the pit; let no man stay him.|KO=
V|N=18|EN=Whoso walketh uprightly shall be saved: but he that is perverse in his ways shall fall at once.|KO=
V|N=19|EN=He that tilleth his land shall have plenty of bread: but he that followeth after vain persons shall have poverty enough.|KO=
V|N=20|EN=A faithful man shall abound with blessings: but he that maketh haste to be rich shall not be innocent.|KO=
V|N=21|EN=To have respect of persons is not good: for for a piece of bread that man will transgress.|KO=
V|N=22|EN=He that hasteth to be rich hath an evil eye, and considereth not that poverty shall come upon him.|KO=
V|N=23|EN=He that rebuketh a man afterwards shall find more favour than he that flattereth with the tongue.|KO=
V|N=24|EN=Whoso robbeth his father or his mother, and saith, It is no transgression; the same is the companion of a destroyer.|KO=
V|N=25|EN=He that is of a proud heart stirreth up strife: but he that putteth his trust in the LORD shall be made fat.|KO=
V|N=26|EN=He that trusteth in his own heart is a fool: but whoso walketh wisely, he shall be delivered.|KO=
V|N=27|EN=He that giveth unto the poor shall not lack: but he that hideth his eyes shall have many a curse.|KO=
V|N=28|EN=When the wicked rise, men hide themselves: but when they perish, the righteous increase.|KO=
