#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=12|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 12|KO=
V|N=1|EN=Whoso loveth instruction loveth knowledge: but he that hateth reproof is brutish.|KO=
V|N=2|EN=A good man obtaineth favour of the LORD: but a man of wicked devices will he condemn.|KO=
V|N=3|EN=A man shall not be established by wickedness: but the root of the righteous shall not be moved.|KO=
V|N=4|EN=A virtuous woman is a crown to her husband: but she that maketh ashamed is as rottenness in his bones.|KO=
V|N=5|EN=The thoughts of the righteous are right: but the counsels of the wicked are deceit.|KO=
V|N=6|EN=The words of the wicked are to lie in wait for blood: but the mouth of the upright shall deliver them.|KO=
V|N=7|EN=The wicked are overthrown, and are not: but the house of the righteous shall stand.|KO=
V|N=8|EN=A man shall be commended according to his wisdom: but he that is of a perverse heart shall be despised.|KO=
V|N=9|EN=He that is despised, and hath a servant, is better than he that honoureth himself, and lacketh bread.|KO=
V|N=10|EN=A righteous man regardeth the life of his beast: but the tender mercies of the wicked are cruel.|KO=
V|N=11|EN=He that tilleth his land shall be satisfied with bread: but he that followeth vain persons is void of understanding.|KO=
V|N=12|EN=The wicked desireth the net of evil men: but the root of the righteous yieldeth fruit.|KO=
V|N=13|EN=The wicked is snared by the transgression of his lips: but the just shall come out of trouble.|KO=
V|N=14|EN=A man shall be satisfied with good by the fruit of his mouth: and the recompence of a man’s hands shall be rendered unto him.|KO=
V|N=15|EN=The way of a fool is right in his own eyes: but he that hearkeneth unto counsel is wise.|KO=
V|N=16|EN=A fool’s wrath is presently known: but a prudent man covereth shame.|KO=
V|N=17|EN=He that speaketh truth sheweth forth righteousness: but a false witness deceit.|KO=
V|N=18|EN=There is that speaketh like the piercings of a sword: but the tongue of the wise is health.|KO=
V|N=19|EN=The lip of truth shall be established for ever: but a lying tongue is but for a moment.|KO=
V|N=20|EN=Deceit is in the heart of them that imagine evil: but to the counsellors of peace is joy.|KO=
V|N=21|EN=There shall no evil happen to the just: but the wicked shall be filled with mischief.|KO=
V|N=22|EN=Lying lips are abomination to the LORD: but they that deal truly are his delight.|KO=
V|N=23|EN=A prudent man concealeth knowledge: but the heart of fools proclaimeth foolishness.|KO=
V|N=24|EN=The hand of the diligent shall bear rule: but the slothful shall be under tribute.|KO=
V|N=25|EN=Heaviness in the heart of man maketh it stoop: but a good word maketh it glad.|KO=
V|N=26|EN=The righteous is more excellent than his neighbour: but the way of the wicked seduceth them.|KO=
V|N=27|EN=The slothful man roasteth not that which he took in hunting: but the substance of a diligent man is precious.|KO=
V|N=28|EN=In the way of righteousness is life: and in the pathway thereof there is no death.|KO=
