#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=25|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 25|KO=
V|N=1|EN=These are also proverbs of Solomon, which the men of Hezekiah king of Judah copied out.|KO=
V|N=2|EN=It is the glory of God to conceal a thing: but the honour of kings is to search out a matter.|KO=
V|N=3|EN=The heaven for height, and the earth for depth, and the heart of kings is unsearchable.|KO=
V|N=4|EN=Take away the dross from the silver, and there shall come forth a vessel for the finer.|KO=
V|N=5|EN=Take away the wicked from before the king, and his throne shall be established in righteousness.|KO=
V|N=6|EN=Put not forth thyself in the presence of the king, and stand not in the place of great men:|KO=
V|N=7|EN=For better it is that it be said unto thee, Come up hither; than that thou shouldest be put lower in the presence of the prince whom thine eyes have seen.|KO=
V|N=8|EN=Go not forth hastily to strive, lest thou know not what to do in the end thereof, when thy neighbour hath put thee to shame.|KO=
V|N=9|EN=Debate thy cause with thy neighbour himself; and discover not a secret to another:|KO=
V|N=10|EN=Lest he that heareth it put thee to shame, and thine infamy turn not away.|KO=
V|N=11|EN=A word fitly spoken is like apples of gold in pictures of silver.|KO=
V|N=12|EN=As an earring of gold, and an ornament of fine gold, so is a wise reprover upon an obedient ear.|KO=
V|N=13|EN=As the cold of snow in the time of harvest, so is a faithful messenger to them that send him: for he refresheth the soul of his masters.|KO=
V|N=14|EN=Whoso boasteth himself of a false gift is like clouds and wind without rain.|KO=
V|N=15|EN=By long forbearing is a prince persuaded, and a soft tongue breaketh the bone.|KO=
V|N=16|EN=Hast thou found honey? eat so much as is sufficient for thee, lest thou be filled therewith, and vomit it.|KO=
V|N=17|EN=Withdraw thy foot from thy neighbour’s house; lest he be weary of thee, and so hate thee.|KO=
V|N=18|EN=A man that beareth false witness against his neighbour is a maul, and a sword, and a sharp arrow.|KO=
V|N=19|EN=Confidence in an unfaithful man in time of trouble is like a broken tooth, and a foot out of joint.|KO=
V|N=20|EN=As he that taketh away a garment in cold weather, and as vinegar upon nitre, so is he that singeth songs to an heavy heart.|KO=
V|N=21|EN=If thine enemy be hungry, give him bread to eat; and if he be thirsty, give him water to drink:|KO=
V|N=22|EN=For thou shalt heap coals of fire upon his head, and the LORD shall reward thee.|KO=
V|N=23|EN=The north wind driveth away rain: so doth an angry countenance a backbiting tongue.|KO=
V|N=24|EN=It is better to dwell in the corner of the housetop, than with a brawling woman and in a wide house.|KO=
V|N=25|EN=As cold waters to a thirsty soul, so is good news from a far country.|KO=
V|N=26|EN=A righteous man falling down before the wicked is as a troubled fountain, and a corrupt spring.|KO=
V|N=27|EN=It is not good to eat much honey: so for men to search their own glory is not glory.|KO=
V|N=28|EN=He that hath no rule over his own spirit is like a city that is broken down, and without walls.|KO=
