#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=17|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 17|KO=
V|N=1|EN=Better is a dry morsel, and quietness therewith, than an house full of sacrifices with strife.|KO=
V|N=2|EN=A wise servant shall have rule over a son that causeth shame, and shall have part of the inheritance among the brethren.|KO=
V|N=3|EN=The fining pot is for silver, and the furnace for gold: but the LORD trieth the hearts.|KO=
V|N=4|EN=A wicked doer giveth heed to false lips; and a liar giveth ear to a naughty tongue.|KO=
V|N=5|EN=Whoso mocketh the poor reproacheth his Maker: and he that is glad at calamities shall not be unpunished.|KO=
V|N=6|EN=Children’s children are the crown of old men; and the glory of children are their fathers.|KO=
V|N=7|EN=Excellent speech becometh not a fool: much less do lying lips a prince.|KO=
V|N=8|EN=A gift is as a precious stone in the eyes of him that hath it: whithersoever it turneth, it prospereth.|KO=
V|N=9|EN=He that covereth a transgression seeketh love; but he that repeateth a matter separateth very friends.|KO=
V|N=10|EN=A reproof entereth more into a wise man than an hundred stripes into a fool.|KO=
V|N=11|EN=An evil man seeketh only rebellion: therefore a cruel messenger shall be sent against him.|KO=
V|N=12|EN=Let a bear robbed of her whelps meet a man, rather than a fool in his folly.|KO=
V|N=13|EN=Whoso rewardeth evil for good, evil shall not depart from his house.|KO=
V|N=14|EN=The beginning of strife is as when one letteth out water: therefore leave off contention, before it be meddled with.|KO=
V|N=15|EN=He that justifieth the wicked, and he that condemneth the just, even they both are abomination to the LORD.|KO=
V|N=16|EN=Wherefore is there a price in the hand of a fool to get wisdom, seeing he hath no heart to it?|KO=
V|N=17|EN=A friend loveth at all times, and a brother is born for adversity.|KO=
V|N=18|EN=A man void of understanding striketh hands, and becometh surety in the presence of his friend.|KO=
V|N=19|EN=He loveth transgression that loveth strife: and he that exalteth his gate seeketh destruction.|KO=
V|N=20|EN=He that hath a froward heart findeth no good: and he that hath a perverse tongue falleth into mischief.|KO=
V|N=21|EN=He that begetteth a fool doeth it to his sorrow: and the father of a fool hath no joy.|KO=
V|N=22|EN=A merry heart doeth good like a medicine: but a broken spirit drieth the bones.|KO=
V|N=23|EN=A wicked man taketh a gift out of the bosom to pervert the ways of judgment.|KO=
V|N=24|EN=Wisdom is before him that hath understanding; but the eyes of a fool are in the ends of the earth.|KO=
V|N=25|EN=A foolish son is a grief to his father, and bitterness to her that bare him.|KO=
V|N=26|EN=Also to punish the just is not good, nor to strike princes for equity.|KO=
V|N=27|EN=He that hath knowledge spareth his words: and a man of understanding is of an excellent spirit.|KO=
V|N=28|EN=Even a fool, when he holdeth his peace, is counted wise: and he that shutteth his lips is esteemed a man of understanding.|KO=
