#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=26|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 26|KO=
V|N=1|EN=As snow in summer, and as rain in harvest, so honour is not seemly for a fool.|KO=
V|N=2|EN=As the bird by wandering, as the swallow by flying, so the curse causeless shall not come.|KO=
V|N=3|EN=A whip for the horse, a bridle for the ass, and a rod for the fool’s back.|KO=
V|N=4|EN=Answer not a fool according to his folly, lest thou also be like unto him.|KO=
V|N=5|EN=Answer a fool according to his folly, lest he be wise in his own conceit.|KO=
V|N=6|EN=He that sendeth a message by the hand of a fool cutteth off the feet, and drinketh damage.|KO=
V|N=7|EN=The legs of the lame are not equal: so is a parable in the mouth of fools.|KO=
V|N=8|EN=As he that bindeth a stone in a sling, so is he that giveth honour to a fool.|KO=
V|N=9|EN=As a thorn goeth up into the hand of a drunkard, so is a parable in the mouths of fools.|KO=
V|N=10|EN=The great God that formed all things both rewardeth the fool, and rewardeth transgressors.|KO=
V|N=11|EN=As a dog returneth to his vomit, so a fool returneth to his folly.|KO=
V|N=12|EN=Seest thou a man wise in his own conceit? there is more hope of a fool than of him.|KO=
V|N=13|EN=The slothful man saith, There is a lion in the way; a lion is in the streets.|KO=
V|N=14|EN=As the door turneth upon his hinges, so doth the slothful upon his bed.|KO=
V|N=15|EN=The slothful hideth his hand in his bosom; it grieveth him to bring it again to his mouth.|KO=
V|N=16|EN=The sluggard is wiser in his own conceit than seven men that can render a reason.|KO=
V|N=17|EN=He that passeth by, and meddleth with strife belonging not to him, is like one that taketh a dog by the ears.|KO=
V|N=18|EN=As a mad man who casteth firebrands, arrows, and death,|KO=
V|N=19|EN=So is the man that deceiveth his neighbour, and saith, Am not I in sport?|KO=
V|N=20|EN=Where no wood is, there the fire goeth out: so where there is no talebearer, the strife ceaseth.|KO=
V|N=21|EN=As coals are to burning coals, and wood to fire; so is a contentious man to kindle strife.|KO=
V|N=22|EN=The words of a talebearer are as wounds, and they go down into the innermost parts of the belly.|KO=
V|N=23|EN=Burning lips and a wicked heart are like a potsherd covered with silver dross.|KO=
V|N=24|EN=He that hateth dissembleth with his lips, and layeth up deceit within him;|KO=
V|N=25|EN=When he speaketh fair, believe him not: for there are seven abominations in his heart.|KO=
V|N=26|EN=Whose hatred is covered by deceit, his wickedness shall be shewed before the whole congregation.|KO=
V|N=27|EN=Whoso diggeth a pit shall fall therein: and he that rolleth a stone, it will return upon him.|KO=
V|N=28|EN=A lying tongue hateth those that are afflicted by it; and a flattering mouth worketh ruin.|KO=
