#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=13|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 13|KO=
V|N=1|EN=A wise son heareth his father’s instruction: but a scorner heareth not rebuke.|KO=
V|N=2|EN=A man shall eat good by the fruit of his mouth: but the soul of the transgressors shall eat violence.|KO=
V|N=3|EN=He that keepeth his mouth keepeth his life: but he that openeth wide his lips shall have destruction.|KO=
V|N=4|EN=The soul of the sluggard desireth, and hath nothing: but the soul of the diligent shall be made fat.|KO=
V|N=5|EN=A righteous man hateth lying: but a wicked man is loathsome, and cometh to shame.|KO=
V|N=6|EN=Righteousness keepeth him that is upright in the way: but wickedness overthroweth the sinner.|KO=
V|N=7|EN=There is that maketh himself rich, yet hath nothing: there is that maketh himself poor, yet hath great riches.|KO=
V|N=8|EN=The ransom of a man’s life are his riches: but the poor heareth not rebuke.|KO=
V|N=9|EN=The light of the righteous rejoiceth: but the lamp of the wicked shall be put out.|KO=
V|N=10|EN=Only by pride cometh contention: but with the well advised is wisdom.|KO=
V|N=11|EN=Wealth gotten by vanity shall be diminished: but he that gathereth by labour shall increase.|KO=
V|N=12|EN=Hope deferred maketh the heart sick: but when the desire cometh, it is a tree of life.|KO=
V|N=13|EN=Whoso despiseth the word shall be destroyed: but he that feareth the commandment shall be rewarded.|KO=
V|N=14|EN=The law of the wise is a fountain of life, to depart from the snares of death.|KO=
V|N=15|EN=Good understanding giveth favour: but the way of transgressors is hard.|KO=
V|N=16|EN=Every prudent man dealeth with knowledge: but a fool layeth open his folly.|KO=
V|N=17|EN=A wicked messenger falleth into mischief: but a faithful ambassador is health.|KO=
V|N=18|EN=Poverty and shame shall be to him that refuseth instruction: but he that regardeth reproof shall be honoured.|KO=
V|N=19|EN=The desire accomplished is sweet to the soul: but it is abomination to fools to depart from evil.|KO=
V|N=20|EN=He that walketh with wise men shall be wise: but a companion of fools shall be destroyed.|KO=
V|N=21|EN=Evil pursueth sinners: but to the righteous good shall be repayed.|KO=
V|N=22|EN=A good man leaveth an inheritance to his children’s children: and the wealth of the sinner is laid up for the just.|KO=
V|N=23|EN=Much food is in the tillage of the poor: but there is that is destroyed for want of judgment.|KO=
V|N=24|EN=He that spareth his rod hateth his son: but he that loveth him chasteneth him betimes.|KO=
V|N=25|EN=The righteous eateth to the satisfying of his soul: but the belly of the wicked shall want.|KO=
