#BOOK=Genesis|BOOKCODE=gen|CHAPTER=35|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 35|KO=
V|N=1|EN=And God said unto Jacob, Arise, go up to Bethel, and dwell there: and make there an altar unto God, that appeared unto thee when thou fleddest from the face of Esau thy brother.|KO=
V|N=2|EN=Then Jacob said unto his household, and to all that were with him, Put away the strange gods that are among you, and be clean, and change your garments:|KO=
V|N=3|EN=And let us arise, and go up to Bethel; and I will make there an altar unto God, who answered me in the day of my distress, and was with me in the way which I went.|KO=
V|N=4|EN=And they gave unto Jacob all the strange gods which were in their hand, and all their earrings which were in their ears; and Jacob hid them under the oak which was by Shechem.|KO=
V|N=5|EN=And they journeyed: and the terror of God was upon the cities that were round about them, and they did not pursue after the sons of Jacob.|KO=
V|N=6|EN=So Jacob came to Luz, which is in the land of Canaan, that is, Bethel, he and all the people that were with him.|KO=
V|N=7|EN=And he built there an altar, and called the place Elbethel: because there God appeared unto him, when he fled from the face of his brother.|KO=
V|N=8|EN=But Deborah Rebekah’s nurse died, and she was buried beneath Bethel under an oak: and the name of it was called Allonbachuth.|KO=
V|N=9|EN=And God appeared unto Jacob again, when he came out of Padanaram, and blessed him.|KO=
V|N=10|EN=And God said unto him, Thy name is Jacob: thy name shall not be called any more Jacob, but Israel shall be thy name: and he called his name Israel.|KO=
V|N=11|EN=And God said unto him, I am God Almighty: be fruitful and multiply; a nation and a company of nations shall be of thee, and kings shall come out of thy loins;|KO=
V|N=12|EN=And the land which I gave Abraham and Isaac, to thee I will give it, and to thy seed after thee will I give the land.|KO=
V|N=13|EN=And God went up from him in the place where he talked with him.|KO=
V|N=14|EN=And Jacob set up a pillar in the place where he talked with him, even a pillar of stone: and he poured a drink offering thereon, and he poured oil thereon.|KO=
V|N=15|EN=And Jacob called the name of the place where God spake with him, Bethel.|KO=
V|N=16|EN=And they journeyed from Bethel; and there was but a little way to come to Ephrath: and Rachel travailed, and she had hard labour.|KO=
V|N=17|EN=And it came to pass, when she was in hard labour, that the midwife said unto her, Fear not; thou shalt have this son also.|KO=
V|N=18|EN=And it came to pass, as her soul was in departing, (for she died) that she called his name Benoni: but his father called him Benjamin.|KO=
V|N=19|EN=And Rachel died, and was buried in the way to Ephrath, which is Bethlehem.|KO=
V|N=20|EN=And Jacob set a pillar upon her grave: that is the pillar of Rachel’s grave unto this day.|KO=
V|N=21|EN=And Israel journeyed, and spread his tent beyond the tower of Edar.|KO=
V|N=22|EN=And it came to pass, when Israel dwelt in that land, that Reuben went and lay with Bilhah his father’s concubine: and Israel heard it. Now the sons of Jacob were twelve:|KO=
V|N=23|EN=The sons of Leah; Reuben, Jacob’s firstborn, and Simeon, and Levi, and Judah, and Issachar, and Zebulun:|KO=
V|N=24|EN=The sons of Rachel; Joseph, and Benjamin:|KO=
V|N=25|EN=And the sons of Bilhah, Rachel’s handmaid; Dan, and Naphtali:|KO=
V|N=26|EN=And the sons of Zilpah, Leah’s handmaid: Gad, and Asher: these are the sons of Jacob, which were born to him in Padanaram.|KO=
V|N=27|EN=And Jacob came unto Isaac his father unto Mamre, unto the city of Arbah, which is Hebron, where Abraham and Isaac sojourned.|KO=
V|N=28|EN=And the days of Isaac were an hundred and fourscore years.|KO=
V|N=29|EN=And Isaac gave up the ghost, and died, and was gathered unto his people, being old and full of days: and his sons Esau and Jacob buried him.|KO=
