#BOOK=Genesis|BOOKCODE=gen|CHAPTER=33|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 33|KO=창세기 33장
V|N=1|EN=And Jacob lifted up his eyes, and looked, and, behold, Esau came, and with him four hundred men. And he divided the children unto Leah, and unto Rachel, and unto the two handmaids.|KO=
V|N=2|EN=And he put the handmaids and their children foremost, and Leah and her children after, and Rachel and Joseph hindermost.|KO=
V|N=3|EN=And he passed over before them, and bowed himself to the ground seven times, until he came near to his brother.|KO=
V|N=4|EN=And Esau ran to meet him, and embraced him, and fell on his neck, and kissed him: and they wept.|KO=
V|N=5|EN=And he lifted up his eyes, and saw the women and the children; and said, Who are those with thee? And he said, The children which God hath graciously given thy servant.|KO=
V|N=6|EN=Then the handmaidens came near, they and their children, and they bowed themselves.|KO=
V|N=7|EN=And Leah also with her children came near, and bowed themselves: and after came Joseph near and Rachel, and they bowed themselves.|KO=
V|N=8|EN=And he said, What meanest thou by all this drove which I met? And he said, These are to find grace in the sight of my lord.|KO=
V|N=9|EN=And Esau said, I have enough, my brother; keep that thou hast unto thyself.|KO=
V|N=10|EN=And Jacob said, Nay, I pray thee, if now I have found grace in thy sight, then receive my present at my hand: for therefore I have seen thy face, as though I had seen the face of God, and thou wast pleased with me.|KO=
V|N=11|EN=Take, I pray thee, my blessing that is brought to thee; because God hath dealt graciously with me, and because I have enough. And he urged him, and he took it.|KO=
V|N=12|EN=And he said, Let us take our journey, and let us go, and I will go before thee.|KO=
V|N=13|EN=And he said unto him, My lord knoweth that the children are tender, and the flocks and herds with young are with me: and if men should overdrive them one day, all the flock will die.|KO=
V|N=14|EN=Let my lord, I pray thee, pass over before his servant: and I will lead on softly, according as the cattle that goeth before me and the children be able to endure, until I come unto my lord unto Seir.|KO=
V|N=15|EN=And Esau said, Let me now leave with thee some of the folk that are with me. And he said, What needeth it? let me find grace in the sight of my lord.|KO=
V|N=16|EN=So Esau returned that day on his way unto Seir.|KO=
V|N=17|EN=And Jacob journeyed to Succoth, and built him an house, and made booths for his cattle: therefore the name of the place is called Succoth.|KO=
V|N=18|EN=And Jacob came to Shalem, a city of Shechem, which is in the land of Canaan, when he came from Padanaram; and pitched his tent before the city.|KO=
V|N=19|EN=And he bought a parcel of a field, where he had spread his tent, at the hand of the children of Hamor, Shechem’s father, for an hundred pieces of money.|KO=
V|N=20|EN=And he erected there an altar, and called it EleloheIsrael.|KO=
