#BOOK=Genesis|BOOKCODE=gen|CHAPTER=49|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 49|KO=창세기 49장
V|N=1|EN=And Jacob called unto his sons, and said, Gather yourselves together, that I may tell you that which shall befall you in the last days.|KO=
V|N=2|EN=Gather yourselves together, and hear, ye sons of Jacob; and hearken unto Israel your father.|KO=
V|N=3|EN=Reuben, thou art my firstborn, my might, and the beginning of my strength, the excellency of dignity, and the excellency of power:|KO=
V|N=4|EN=Unstable as water, thou shalt not excel; because thou wentest up to thy father’s bed; then defiledst thou it: he went up to my couch.|KO=
V|N=5|EN=Simeon and Levi are brethren; instruments of cruelty are in their habitations.|KO=
V|N=6|EN=O my soul, come not thou into their secret; unto their assembly, mine honour, be not thou united: for in their anger they slew a man, and in their selfwill they digged down a wall.|KO=
V|N=7|EN=Cursed be their anger, for it was fierce; and their wrath, for it was cruel: I will divide them in Jacob, and scatter them in Israel.|KO=
V|N=8|EN=Judah, thou art he whom thy brethren shall praise: thy hand shall be in the neck of thine enemies; thy father’s children shall bow down before thee.|KO=
V|N=9|EN=Judah is a lion’s whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall rouse him up?|KO=
V|N=10|EN=The sceptre shall not depart from Judah, nor a lawgiver from between his feet, until Shiloh come; and unto him shall the gathering of the people be.|KO=
V|N=11|EN=Binding his foal unto the vine, and his ass’s colt unto the choice vine; he washed his garments in wine, and his clothes in the blood of grapes:|KO=
V|N=12|EN=His eyes shall be red with wine, and his teeth white with milk.|KO=
V|N=13|EN=Zebulun shall dwell at the haven of the sea; and he shall be for an haven of ships; and his border shall be unto Zidon.|KO=
V|N=14|EN=Issachar is a strong ass couching down between two burdens:|KO=
V|N=15|EN=And he saw that rest was good, and the land that it was pleasant; and bowed his shoulder to bear, and became a servant unto tribute.|KO=
V|N=16|EN=Dan shall judge his people, as one of the tribes of Israel.|KO=
V|N=17|EN=Dan shall be a serpent by the way, an adder in the path, that biteth the horse heels, so that his rider shall fall backward.|KO=
V|N=18|EN=I have waited for thy salvation, O LORD.|KO=
V|N=19|EN=Gad, a troop shall overcome him: but he shall overcome at the last.|KO=
V|N=20|EN=Out of Asher his bread shall be fat, and he shall yield royal dainties.|KO=
V|N=21|EN=Naphtali is a hind let loose: he giveth goodly words.|KO=
V|N=22|EN=Joseph is a fruitful bough, even a fruitful bough by a well; whose branches run over the wall:|KO=
V|N=23|EN=The archers have sorely grieved him, and shot at him, and hated him:|KO=
V|N=24|EN=But his bow abode in strength, and the arms of his hands were made strong by the hands of the mighty God of Jacob; (from thence is the shepherd, the stone of Israel:)|KO=
V|N=25|EN=Even by the God of thy father, who shall help thee; and by the Almighty, who shall bless thee with blessings of heaven above, blessings of the deep that lieth under, blessings of the breasts, and of the womb:|KO=
V|N=26|EN=The blessings of thy father have prevailed above the blessings of my progenitors unto the utmost bound of the everlasting hills: they shall be on the head of Joseph, and on the crown of the head of him that was separate from his brethren.|KO=
V|N=27|EN=Benjamin shall ravin as a wolf: in the morning he shall devour the prey, and at night he shall divide the spoil.|KO=
V|N=28|EN=All these are the twelve tribes of Israel: and this is it that their father spake unto them, and blessed them; every one according to his blessing he blessed them.|KO=
V|N=29|EN=And he charged them, and said unto them, I am to be gathered unto my people: bury me with my fathers in the cave that is in the field of Ephron the Hittite,|KO=
V|N=30|EN=In the cave that is in the field of Machpelah, which is before Mamre, in the land of Canaan, which Abraham bought with the field of Ephron the Hittite for a possession of a buryingplace.|KO=
V|N=31|EN=There they buried Abraham and Sarah his wife; there they buried Isaac and Rebekah his wife; and there I buried Leah.|KO=
V|N=32|EN=The purchase of the field and of the cave that is therein was from the children of Heth.|KO=
V|N=33|EN=And when Jacob had made an end of commanding his sons, he gathered up his feet into the bed, and yielded up the ghost, and was gathered unto his people.|KO=
