#BOOK=Genesis|BOOKCODE=gen|CHAPTER=9|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 9|KO=창세기 9장
V|N=1|EN=And God blessed Noah and his sons, and said unto them, Be fruitful, and multiply, and replenish the earth.|KO=
V|N=2|EN=And the fear of you and the dread of you shall be upon every beast of the earth, and upon every fowl of the air, upon all that moveth upon the earth, and upon all the fishes of the sea; into your hand are they delivered.|KO=
V|N=3|EN=Every moving thing that liveth shall be meat for you; even as the green herb have I given you all things.|KO=
V|N=4|EN=But flesh with the life thereof, which is the blood thereof, shall ye not eat.|KO=
V|N=5|EN=And surely your blood of your lives will I require; at the hand of every beast will I require it, and at the hand of man; at the hand of every man’s brother will I require the life of man.|KO=
V|N=6|EN=Whoso sheddeth man’s blood, by man shall his blood be shed: for in the image of God made he man.|KO=
V|N=7|EN=And you, be ye fruitful, and multiply; bring forth abundantly in the earth, and multiply therein.|KO=
V|N=8|EN=And God spake unto Noah, and to his sons with him, saying,|KO=
V|N=9|EN=And I, behold, I establish my covenant with you, and with your seed after you;|KO=
V|N=10|EN=And with every living creature that is with you, of the fowl, of the cattle, and of every beast of the earth with you; from all that go out of the ark, to every beast of the earth.|KO=
V|N=11|EN=And I will establish my covenant with you, neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth.|KO=
V|N=12|EN=And God said, This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:|KO=
V|N=13|EN=I do set my bow in the cloud, and it shall be for a token of a covenant between me and the earth.|KO=
V|N=14|EN=And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud:|KO=
V|N=15|EN=And I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh.|KO=
V|N=16|EN=And the bow shall be in the cloud; and I will look upon it, that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth.|KO=
V|N=17|EN=And God said unto Noah, This is the token of the covenant, which I have established between me and all flesh that is upon the earth.|KO=
V|N=18|EN=And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan.|KO=
V|N=19|EN=These are the three sons of Noah: and of them was the whole earth overspread.|KO=
V|N=20|EN=And Noah began to be an husbandman, and he planted a vineyard:|KO=
V|N=21|EN=And he drank of the wine, and was drunken; and he was uncovered within his tent.|KO=
V|N=22|EN=And Ham, the father of Canaan, saw the nakedness of his father, and told his two brethren without.|KO=
V|N=23|EN=And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father; and their faces were backward, and they saw not their father’s nakedness.|KO=
V|N=24|EN=And Noah awoke from his wine, and knew what his younger son had done unto him.|KO=
V|N=25|EN=And he said, Cursed be Canaan; a servant of servants shall he be unto his brethren.|KO=
V|N=26|EN=And he said, Blessed be the LORD God of Shem; and Canaan shall be his servant.|KO=
V|N=27|EN=God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant.|KO=
V|N=28|EN=And Noah lived after the flood three hundred and fifty years.|KO=
V|N=29|EN=And all the days of Noah were nine hundred and fifty years: and he died.|KO=
