#BOOK=Genesis|BOOKCODE=gen|CHAPTER=6|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 6|KO=창세기 6장
V|N=1|EN=And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them,|KO=
V|N=2|EN=That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.|KO=
V|N=3|EN=And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.|KO=
V|N=4|EN=There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown.|KO=
V|N=5|EN=And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually.|KO=
V|N=6|EN=And it repented the LORD that he had made man on the earth, and it grieved him at his heart.|KO=
V|N=7|EN=And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them.|KO=
V|N=8|EN=But Noah found grace in the eyes of the LORD.|KO=
V|N=9|EN=These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God.|KO=
V|N=10|EN=And Noah begat three sons, Shem, Ham, and Japheth.|KO=
V|N=11|EN=The earth also was corrupt before God, and the earth was filled with violence.|KO=
V|N=12|EN=And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth.|KO=
V|N=13|EN=And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth.|KO=
V|N=14|EN=Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch.|KO=
V|N=15|EN=And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits.|KO=
V|N=16|EN=A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it.|KO=
V|N=17|EN=And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die.|KO=
V|N=18|EN=But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons’ wives with thee.|KO=
V|N=19|EN=And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female.|KO=
V|N=20|EN=Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive.|KO=
V|N=21|EN=And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them.|KO=
V|N=22|EN=Thus did Noah; according to all that God commanded him, so did he.|KO=
